row_index,loan_amount,income,combined_loan_to_value_ratio,interest_rate,debt_to_income_ratio,rate_spread,loan_term,total_loan_costs,origination_charges,tract_population,tract_minority_population_percent,tract_to_msa_income_percentage,tract_median_age_of_housing_units,applicant_age,stat_score,if_score,if_flag,dbscan_noise,tier,typology
31168,975000,696.0,75.0,6.99,25.0,0.899,360.0,,,3933,76.51,133.0,0,39.5,2,-0.0346,True,1.0,High Confidence,Unclassified / Manual Review
66997,265000,,,3.5,,,360.0,17960.95,5772.85,30199,72.92,121.0,9,,3,-0.0326,True,1.0,High Confidence,Unclassified / Manual Review
95977,845000,350.0,31.0,2.225,33.0,-0.694,360.0,4293.35,374.85,4815,31.05,292.0,65,49.5,3,-0.0324,True,1.0,High Confidence,Rare Legitimate
60286,1115000,480.0,,2.75,,,360.0,7728.5,1690.0,10060,37.51,154.0,0,39.5,3,-0.0322,True,1.0,High Confidence,Unclassified / Manual Review
46790,1105000,695.0,,,,,360.0,,,8701,67.19,210.0,13,39.5,3,-0.0313,True,1.0,High Confidence,Unclassified / Manual Review
23779,1725000,421.0,75.0,2.7,25.0,-0.9,360.0,2554.9,0.0,3458,31.0,174.0,68,29.5,2,-0.0293,True,1.0,High Confidence,Unclassified / Manual Review
91891,3075000,579.0,67.942,,39.0,,360.0,,,5161,42.92,173.0,61,39.5,2,-0.0259,True,1.0,High Confidence,Unclassified / Manual Review
134,1165000,490.0,,,,,360.0,,,3799,35.59,253.0,0,29.5,3,-0.0255,True,1.0,High Confidence,Unclassified / Manual Review
70424,685000,618.0,80.0,3.5,25.0,0.375,360.0,5348.75,1545.0,1613,22.81,237.0,18,49.5,2,-0.0246,True,1.0,High Confidence,Unclassified / Manual Review
47755,1855000,600.0,,,,,360.0,,,5965,16.92,195.0,67,29.5,2,-0.0239,True,1.0,High Confidence,Unclassified / Manual Review
93381,185000,,,2.09,,,,,,16383,50.84,134.0,9,,2,-0.0218,True,1.0,High Confidence,Unclassified / Manual Review
65872,2805000,529.0,65.116,,46.0,,360.0,,,3198,41.65,195.0,45,39.5,2,-0.021,True,1.0,High Confidence,Unclassified / Manual Review
74143,275000,165.0,,,,,180.0,,,16383,50.84,134.0,9,49.5,2,-0.0199,True,1.0,High Confidence,Unclassified / Manual Review
1761,95000,90.0,,8.6,42.0,6.262,240.0,,,2709,95.13,0.0,19,39.5,2,-0.0198,True,1.0,High Confidence,Potential Risk Signal
39421,975000,,104.41,,,,12.0,,,4450,61.12,209.0,63,,3,-0.0195,True,1.0,High Confidence,Unclassified / Manual Review
83815,1595000,298.0,61.44,3.25,44.0,-0.462,360.0,13817.64,10792.64,6629,39.51,229.0,48,39.5,4,-0.0193,True,1.0,High Confidence,Unclassified / Manual Review
9420,125000,72.0,,7.3,45.0,4.469,300.0,,,13573,85.83,54.0,23,29.5,2,-0.0186,True,1.0,High Confidence,Unclassified / Manual Review
64858,755000,294.0,60.0,2.975,33.0,-1.238,360.0,6965.3,795.0,4012,26.79,281.0,0,29.5,3,-0.0182,True,1.0,High Confidence,Rare Legitimate
37961,55000,52.0,51.452,,41.0,,360.0,,,15093,46.1,118.0,11,29.5,2,-0.0157,True,1.0,High Confidence,Unclassified / Manual Review
69553,615000,169.0,90.0,6.0,37.0,0.096,360.0,,,13307,33.8,148.0,11,29.5,2,-0.0135,True,1.0,High Confidence,Unclassified / Manual Review
79091,535000,394.0,,,,,360.0,,,2309,64.14,278.0,15,59.5,2,-0.013,True,1.0,High Confidence,Unclassified / Manual Review
6818,1595000,300.0,,,,,360.0,,,2189,27.23,224.0,76,49.5,3,-0.0128,True,1.0,High Confidence,Unclassified / Manual Review
68204,475000,,,4.25,,,360.0,8273.95,6200.0,16159,87.8,136.0,8,,2,-0.0106,True,1.0,High Confidence,Unclassified / Manual Review
91374,1595000,906.0,75.0,4.875,37.0,-1.498,360.0,8691.85,1190.0,2264,20.23,136.0,45,59.5,2,-0.0104,True,1.0,High Confidence,Unclassified / Manual Review
87095,1295000,536.0,70.18,3.0,25.0,-0.119,360.0,7956.94,4819.95,5040,30.06,193.0,71,39.5,2,-0.0094,True,1.0,High Confidence,Unclassified / Manual Review
44931,1285000,,,3.25,,,360.0,4263.5,0.0,1267,82.56,0.0,35,,2,-0.0075,True,1.0,High Confidence,Unclassified / Manual Review
12258,775000,175.0,103.453,3.625,55.0,1.159,360.0,30129.5,10939.16,1548,55.1,149.0,75,49.5,3,-0.0074,True,1.0,High Confidence,Unclassified / Manual Review
13433,1725000,466.0,75.0,4.0,37.0,0.101,360.0,6514.76,1990.0,3793,21.67,224.0,64,39.5,3,-0.0068,True,1.0,High Confidence,Unclassified / Manual Review
25857,1565000,485.0,80.0,7.875,33.0,1.924,360.0,23729.9,15943.4,4128,50.85,151.0,32,49.5,4,-0.0063,True,1.0,High Confidence,Unclassified / Manual Review
