antecedents,consequents,support,confidence,lift
"applicant_age_missing, derived_dwelling_category_multifamily:site-built",total_units_5-24,0.002420145208712523,0.6487935656836461,227.6332063402474
"applicant_age_missing, conforming_loan_limit_missing",total_units_5-24,0.002480148808928536,0.6441558441558441,226.00603326498063
"derived_dwelling_category_multifamily:site-built, loan_term_bin_(0.999, 300.0]",total_units_5-24,0.001750105006300378,0.631768953068592,221.6600164671607
"derived_dwelling_category_multifamily:site-built, loan_size_Large",total_units_5-24,0.002180130807848471,0.630057803468208,221.059649122807
"conforming_loan_limit_missing, loan_term_bin_(0.999, 300.0]",total_units_5-24,0.0018001080064803888,0.625,219.28508771929825
"combined_loan_to_value_ratio_bin_(0.129, 68.474], derived_dwelling_category_multifamily:site-built",total_units_5-24,0.0010100606036362182,0.6047904191616766,212.19443218825506
"loan_term_bin_missing, purchaser_type_2",reverse_mortgage_1,0.002310138608316499,0.9428571428571428,137.83634085213032
"derived_loan_product_type_fha:first lien, loan_term_bin_missing",reverse_mortgage_1,0.005730343820629238,0.9197431781701445,134.4573090028442
"loan_term_bin_missing, loan_type_2",reverse_mortgage_1,0.005730343820629238,0.9182692307692307,134.24183254610884
"interest_rate_bin_(5.375, 15.25], loan_term_bin_missing",reverse_mortgage_1,0.001870112206732404,0.8095238095238095,118.34433305485936
"applicant_age_>74, loan_term_bin_missing",reverse_mortgage_1,0.0028201692101526093,0.7833333333333333,114.51554580896685
"debt_to_income_ratio_missing, loan_term_bin_missing",reverse_mortgage_1,0.006630397823869432,0.6842105263157895,100.02477685441674
"loan_term_bin_missing, state_code_ca",reverse_mortgage_1,0.0018201092065523931,0.6431095406360423,94.01622135432808
"loan_purpose_4, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.0014700882052923175,1.0,55.30641592920354
"co_applicant_age_25-34, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.001380082804968298,1.0,55.30641592920354
"reverse_mortgage_1111, state_code_pa",debt_to_income_ratio_exempt,0.0010700642038522312,1.0,55.30641592920354
"co_applicant_age_45-54, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.0017601056063363803,1.0,55.18432671081678
"debt_to_income_ratio_exempt, loan_purpose_32",reverse_mortgage_1111,0.0015500930055803348,1.0,55.18432671081678
"construction_method_2, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.0010400624037442247,1.0,55.18432671081678
"debt_to_income_ratio_exempt, derived_dwelling_category_single family (1-4 units):manufactured",reverse_mortgage_1111,0.0010300618037082225,1.0,55.18432671081678
"loan_size_Large, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.0043402604156249375,0.9977011494252873,55.17927474315939
"applicant_age_25-34, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.002230133808028482,0.9955357142857143,55.059512286662454
"debt_to_income_ratio_exempt, loan_size_Medium",reverse_mortgage_1111,0.0039002340140408425,0.9974424552429668,55.04319032536712
"debt_to_income_ratio_exempt, loan_purpose_31",reverse_mortgage_1111,0.0038402304138248295,0.9974025974025974,55.04099079728219
"debt_to_income_ratio_exempt, income_bracket_Low",reverse_mortgage_1111,0.00375022501350081,0.9973404255319148,55.03755988445822
"loan_purpose_31, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.0038402304138248295,0.9948186528497409,55.019854188637716
"applicant_age_45-54, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.003330199811988719,0.997005988023952,55.01910417575445
"debt_to_income_ratio_exempt, occupancy_type_3",reverse_mortgage_1111,0.004750285017101026,0.9958071278825995,54.952945886033476
"derived_race_race not available, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.00440026401584095,0.9932279909706546,54.93188038115024
"loan_purpose_1, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.008960537632257936,0.9922480620155039,54.877684022775604
"applicant_age_missing, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.0033201992119527173,0.9940119760479043,54.85388164069213
"debt_to_income_ratio_exempt, lien_status_1",reverse_mortgage_1111,0.014880892853571213,0.9939879759519037,54.852557211553346
"debt_to_income_ratio_exempt, derived_loan_product_type_conventional:first lien",reverse_mortgage_1111,0.014780886853211193,0.9939475453934096,54.8503260784043
"derived_sex_male, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.00458027481648899,0.9913419913419914,54.82757250124507
"applicant_age_45-54, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.003330199811988719,0.9910714285714285,54.81260864412136
"applicant_age_missing, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.0033201992119527173,0.991044776119403,54.811134592524105
"combined_loan_to_value_ratio_bin_missing, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.017881072864371864,0.9905817174515236,54.785524477238745
"debt_to_income_ratio_exempt, loan_term_bin_missing",reverse_mortgage_1111,0.017841070464227855,0.9927657206455204,54.785107875401856
"co_applicant_age_missing, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.01041062463747825,0.9904852521408184,54.780189326642144
"income_bracket_Medium, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.003120187211232674,0.9904761904761905,54.779688158449225
"income_bracket_Very High, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.004100246014760885,0.9903381642512077,54.77205442264118
"co_applicant_age_missing, debt_to_income_ratio_exempt",reverse_mortgage_1111,0.01041062463747825,0.9923736892278361,54.763473885567464
"loan_term_bin_missing, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.017841070464227855,0.9900110987791343,54.753965603606616
"occupancy_type_3, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.004750285017101026,0.9895833333333334,54.73030742994101
"interest_rate_bin_missing, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.017881072864371864,0.989485334809076,54.724887482797975
"reverse_mortgage_1111, state_code_other",debt_to_income_ratio_exempt,0.010990659439566374,0.9891989198919893,54.70904690026525
"debt_to_income_ratio_exempt, derived_sex_male",reverse_mortgage_1111,0.00458027481648899,0.9913419913419914,54.70654033236815
"derived_sex_female, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.00273016380982859,0.9891304347826088,54.7052592343209
"debt_to_income_ratio_exempt, loan_purpose_1",reverse_mortgage_1111,0.008960537632257936,0.9911504424778762,54.69596983726973
"co_applicant_age_45-54, reverse_mortgage_1111",debt_to_income_ratio_exempt,0.0017601056063363803,0.9887640449438202,54.684995525504625
"debt_to_income_ratio_exempt, derived_race_white",reverse_mortgage_1111,0.011770706242374543,0.9907407407407407,54.67336072275366
